publication_id,pub_date,emission_title,zotero_key,Item Type,Title,Guest,Publication Title,Url,Abstract Note,Publisher
33ce0604-b890-41ae-ade1-9679cedd491c,2022-01-20 18:16:03.993,Backseat : Hidalgo,G5DGKAHU,tvBroadcast,Backseat : Hidalgo,"Hidalgo, Anne",Backseat (Jean Massiet),https://www.twitch.tv/videos/1270073159,,Twitch
9cf6e2c4-cc91-4574-98ed-8cffadfcfb3b,2022-01-25 19:53:59.976,20h22 sur Twitch : Hidalgo,6Z7QSDWE,tvBroadcast,20h22 sur Twitch : Hidalgo,"Hidalgo, Anne",20h22 sur Twitch,https://www.twitch.tv/videos/1275720685 ; https://www.twitch.tv/videos/1275764978,,Twitch
a659676d-1dc1-40a8-9e97-942b3988a44f,2022-02-01 18:46:19.862,20h22 sur twitch: Zemmour,NUE33C36,tvBroadcast,20h22 sur twitch: Zemmour,"Zemmour, Eric",20h22 sur twitch,,,Twitch
315f0f79-aea0-4e10-a540-9913c6dd5320,2022-02-07 18:48:16.731,20h22 sur Twitch : Le Pen,LRXAFKAH,tvBroadcast,20h22 sur Twitch : Le Pen,"Le Pen, Marine",20h22 sur Twitch,,#LePen,Twitch
616e2fb7-3b92-45b1-a6ae-4a5f73475c44,2022-02-10 18:16:28.867,Backseat : Poutou,6FJUX7RY,tvBroadcast,Backseat : Poutou,"Poutou, Philippe",Backseat (Jean Massiet),https://poutou2022.org/node/156,,Twitch
63fd614a-f011-4c83-aeff-7fb2ea3eca1f,2022-02-10 19:18:55.875,Elysée 2022 avec Mélenchon (redif sur Twitch),f,,,,,,,
bf11756d-cda8-4acb-85a8-d6ae681403ae,2022-02-15 18:48:14.985,20h22 sur Twitch : Pécresse,5HKTXKA9,tvBroadcast,20h22 sur Twitch : Pécresse,"Pécresse, Valérie",20h22 sur Twitch,https://www.twitch.tv/videos/1299032652,,Twitch
8285b0e6-4bfb-4a64-9412-7c5728027dcc,2022-02-17 18:15:18.683,Taubira,,,,,,,,
0644ec46-a246-4bb5-8314-16a7cdccaf48,2022-03-10 17:53:11.442,Backseat : Jadot,GAZCY7VE,tvBroadcast,Backseat : Jadot,"Jadot, Yannick",Backseat (Jean Massiet),https://www.twitch.tv/videos/1421378900,#Jadot2022|#Backseat|#Changeons,Twitch
0e7ed9f7-1667-4ee7-86c4-94877047ec98,2022-03-13 14:48:24.86,Le débat du siècle,6FRL4BAA,tvBroadcast,"Le débat du siècle: Jadot, Roussel, Hidalgo, Poutou, Pécresse","Jadot, Yannick; Roussel, Fabien; Hidalgo, Anne; Poutou, Philippe; Pécresse, Valérie",Le débat du siècle,https://www.twitch.tv/videos/1424445409,#DebatduSiècle,Twitch
